WT,Latitude,Longitude
1,53.8267,2.1995
2,53.8226,2.1757
3,53.8238,2.1569
4,53.826,2.1429
5,53.8256,2.1284
6,53.8291,2.1009
7,53.8283,2.0869
8,53.8292,2.0726
9,53.8301,2.0584
10,53.8311,2.0424
11,53.8319,2.0282
12,53.8337,2.0143
13,53.8338,1.9969
14,53.8339,1.9783
15,53.8341,1.9492
16,53.8342,1.9341
17,53.8348,1.9094
18,53.8344,1.8943
19,53.8346,1.8737
20,53.8347,1.8493
21,53.8365,1.8284
22,53.8361,1.8045
23,53.835,1.7836
24,53.8351,1.7653
25,53.8352,1.745
26,53.8353,1.7236
27,53.8354,1.7031
28,53.8374,1.6805
29,53.8355,1.6653
30,53.8356,1.6512
31,53.836,2.2297
32,53.8381,2.2037
33,53.8371,2.1467
34,53.837,2.1055
35,53.8407,2.0599
36,53.8427,2.0164
37,53.8452,1.9724
38,53.847,1.9287
39,53.8461,1.8883
40,53.8461,1.8542
41,53.8474,1.8353
42,53.847,1.8077
43,53.8465,1.7858
44,53.845,1.7651
45,53.851,1.7285
46,53.8495,1.6992
47,53.8495,1.6702
48,53.8452,2.2198
49,53.8458,2.175
50,53.8472,2.1357
51,53.847,2.0948
52,53.8525,2.0471
53,53.8537,2.0044
54,53.8565,1.9597
55,53.8579,1.9167
56,53.8579,1.8753
57,53.8581,1.841
58,53.8583,1.7952
59,53.8544,1.7547
60,53.8624,1.6559
61,53.8552,2.2088
62,53.8575,2.1658
63,53.8592,2.1226
64,53.8572,2.0833
65,53.8638,1.7443
66,53.8681,1.7096
67,53.8666,1.6802
68,53.8647,2.1985
69,53.8649,2.1745
70,53.868,2.1544
71,53.8692,2.1117
72,53.8675,2.072
73,53.8642,2.0342
74,53.8646,1.9924
75,53.8679,1.9472
76,53.8696,1.9039
77,53.8697,1.8623
78,53.8696,1.8283
79,53.8714,1.8088
80,53.8697,1.7826
81,53.872,1.7578
82,53.8732,1.7339
83,53.88,2.1818
84,53.8788,2.1425
85,53.8785,2.0601
86,53.876,2.0213
87,53.8755,1.9804
88,53.8794,1.9347
89,53.886,1.8859
90,53.8815,1.8492
91,53.8827,1.8139
92,53.881,1.7701
93,53.8826,1.7235
94,53.8862,1.6896
95,53.8852,1.6599
96,53.8885,2.1725
97,53.8914,2.1458
98,53.8897,2.1307
99,53.8856,2.0937
100,53.8882,2.0494
101,53.8877,2.0085
102,53.8864,1.9684
103,53.8908,1.9221
104,53.8934,1.8362
105,53.8922,1.8034
106,53.8937,1.7842
107,53.8924,1.7576
108,53.8952,1.7323
109,53.8989,1.7055
110,53.8995,2.1605
111,53.9005,2.1189
112,53.8971,2.0812
113,53.8995,2.0371
114,53.8995,1.9956
115,53.8974,1.9564
116,53.9022,1.9096
117,53.8984,1.8717
118,53.9089,1.8189
119,53.9043,1.7899
120,53.9037,1.745
121,53.9075,1.696
122,53.9091,1.6642
123,53.9107,2.1482
124,53.9113,2.107
125,53.907,2.0702
126,53.9089,2.0267
127,53.9112,1.9827
128,53.9083,1.9443
129,53.9136,1.897
130,53.9102,1.8592
131,53.9188,1.808
132,53.9158,1.7772
133,53.9169,1.7585
134,53.9151,1.7324
135,53.9164,1.7091
136,53.9161,1.6864
137,53.9223,2.1355
138,53.9192,2.1152
139,53.9221,2.0952
140,53.9187,2.0574
141,53.9191,2.0156
142,53.9228,1.97
143,53.919,1.9326
144,53.9248,1.8846
145,53.9216,1.8466
146,53.9299,1.7942
147,53.9275,1.7644
148,53.9264,1.7199
149,53.9262,1.6752
150,53.9342,2.1226
151,53.9329,2.0833
152,53.9298,2.0453
153,53.9339,1.833
154,53.9407,1.7822
155,53.9391,1.7514
156,53.942,1.7307
157,53.9372,1.7079
158,53.9341,1.6889
159,53.9412,2.0911
160,53.9436,2.0716
161,53.9388,2.0354
162,53.9508,1.771
163,53.9503,1.7391
164,53.9531,1.7184
165,53.9467,2.1089
166,53.952,2.0792
167,53.9603,1.7604
168,53.9619,1.7263
169,53.9619,1.7087
170,53.9546,2.1002
171,53.9693,1.7504
172,53.9735,1.7153
173,53.971,1.6987
174,53.9773,1.7415
